name,price,old_price,rating,shipped
GATWIGA 3 IN 1 Bag Set Pencil/Crossbody/Laptop Backpack,"₦ 7,500","₦ 15,999",53%,
GATWIGA 3 IN 1 Bag Set Pencil/Crossbody/Laptop Backpack Grey,"₦ 6,752","₦ 15,999",58%,
Backpack Casual Laptop School Bag,"₦ 6,465","₦ 12,900",50%,
EILIFINTE Quality 3 IN 1 Bag Set Pencil/Chest Bag/Laptop Backpack Grey,"₦ 7,659","₦ 21,800",65%,
EILIFINTE B06 Casual Crossbody Shoulder Chest Bag-Grey,"₦ 1,838","₦ 6,800",73%,
Men Bags Backpacks School Bags Laptop Bags Bookbags Satchel,"₦ 10,190","₦ 19,990",49%,
Men Bags Backpacks School Bags Laptop Bags Bookbags Satchel- Grey,"₦ 8,490","₦ 9,990",15%,
EILIFINTE B07 Anti Theft Business Laptop Backpack-Black&Grey,"₦ 8,480","₦ 13,800",39%,
EILIFINTE B12 Ladies High Quality PU Shoulder Handbag -Black,"₦ 5,809","₦ 12,800",55%,
Mythco Set 5 Backpack Bags For Student Pencil Case Tote Canvas,"₦ 10,920","₦ 24,000",55%,
GATWIGA Casual Shoulder Sports Sling Crossbody Bag - Free Size,"₦ 2,497","₦ 7,500",67%,
Ladies Casual Backpack Women Bags School Waterproof Portable Female Travel,"₦ 11,428","₦ 15,612",27%,
Ladies Comfortable Polyester Casual Backpack Bag - Black,"₦ 24,999",,,
EILIFINTE B05 PU Fabric Crossbody Chest Shoulder Bag-Brown,"₦ 2,016","₦ 7,800",74%,
(Black)17 3 Inch Laptop Backpack Expandable Men's Waterproof Notebook USB Charging Sports Travel Bag Pack Backpacks For Men  Notebooks BAA,"₦ 80,869","₦ 101,086",20%,Shipped from abroad
MeiJieLuo Men Casual Outdoor Travel Crossbody Bag With USB Port,"₦ 2,290","₦ 7,500",69%,
3 In1 Multi Functional School Backpack With USB Slot-Black,"₦ 9,590","₦ 11,990",20%,
4 In 1 Back To School Baby Diapers Bag With Flask,"₦ 18,500",,,
EILIFINTE B08 Unisex Sports Waist Pack Chest Bag-Dark Grey,"₦ 1,838","₦ 8,500",78%,
Bro Toumi Multi Functional High-capacity School Backpack - Black,"₦ 8,874","₦ 13,990",37%,
Womens Fashion Printed Rucksack Backpack Bag,"₦ 5,699","₦ 10,500",46%,
EILIFINTE B09 Unisex Outdoor Waist Pack Chest Bag-Grey&Red,"₦ 1,838","₦ 8,800",79%,
PU Fabric Casual Shoulder Bag Chest Bag Crossbody Bag,"₦ 2,121","₦ 8,999",76%,
Ladies Backpack Bag Small Cute Leather Bags For Girls Cat,"₦ 11,093","₦ 14,587",24%,Shipped from abroad
Women Bags Ladies Bags Handbags Purse Sling Bags,"₦ 5,814","₦ 9,999",42%,
Casual  Shoulder Sports Sling Bag Chest Bag Crossbody Bag,"₦ 2,460","₦ 9,500",74%,
Ladies Comfortable Polyester Casual Backpack Bag - Red,"₦ 24,900",,,
