item_name,price,rated_count,old_price,rated,discount %
Keep Moving Dubai First Class Non Fading Iced Out Gold Wristwatch + Cuban Jewelry Set,"₦ 59,900",,"₦ 599,000",,90%
Never Fading & Sophisticated Gold Wristwatch + Necklace + Hand Chain + Ring For Made Men,"₦ 35,550",3,"₦ 321,900",5,89%
Full Touch Screen Smart Watch - For Android & IOS,"₦ 9,890",168,"₦ 17,800",3.5,44%
Pin Time Highly Rugged/Sophisticated/Mechanical Red Rubber Strap Wristwatch For Boss,"₦ 41,746",12,"₦ 330,900",3.7,87%
Superior Quality & Sophisticated Non Fading Gold Wristwatch For Classic Men,"₦ 29,500",1,"₦ 219,555",5,87%
Binbond Super Rugged & Forever Lasting Non Fading Gold Wristwatch For Executive Men,"₦ 35,509",3,"₦ 291,609",4.3,88%
Men Sport LED Watches Digital Multi-Functional Electronic Watch Waterproof,"₦ 4,900",24,"₦ 11,500",4.6,57%
Fngeen 05 Calendar Sporty Waterproof Quartz Watch/Gold-like,"₦ 4,980",2958,"₦ 28,000",3.9,82%
Color - Screen Smart Watch Heart Rate Sport Bracelet,"₦ 5,064",17,"₦ 6,077",3.1,17%
Forcast Fashion In Vogue &  Very Dapper Long Lasting Wristwatch + Solid Bracelet For Rugged Men,"₦ 26,999",,"₦ 30,000",,10%
Forecast Ultra-modern Non Fading/Non Rusting Chronograph Silver Steel Wristwatch,"₦ 38,000",,"₦ 60,000",,37%
COUPLE Quartz Fashion Business Men’s Wristwatch Waterproof,"₦ 20,999",,"₦ 28,000",,25%
Full  Touch Screen Smart  Watch - For Android & IOS,"₦ 9,231",113,"₦ 11,077",3.4,17%
O.T.SEA Top Quality Military Quartz OTSEA Watch + LED Watch (2 In 1),"₦ 9,870",19,"₦ 19,900",4,50%
Authentic Diamond Iced Sophisticated Silver Steel Wristwatch + Necklace/Bracelet,"₦ 34,865",5,"₦ 90,000",5,61%
Full Touch Screen Smart Watch - For Android & IOS,"₦ 9,204",64,"₦ 11,045",3.6,17%
Pin Time Very Rugged & Solid Sophisticated Iced Studded WristWatch For Mens +Stone Studded Bracelet,"₦ 29,650",2,"₦ 30,000",5,1%
NEPIC ANALOG MEN WRISTWATCH,"₦ 11,999",,"₦ 15,000",,20%
Lookworld Quality Sophisticated Non Fading Chronograph Leather Wristwatch,"₦ 22,999",,"₦ 30,000",,23%
2023 Smart Watch Ultra Series 8 NFC Smartwatch Men Women Wireless Charging Fitness Bracelet,"₦ 15,564",10,"₦ 31,128",3.9,50%
Men’s Wristwatch + Wallet + Face Cap For Men,"₦ 7,339",2,"₦ 9,000",4.5,18%
SILICONE LED DIGITAL SPORTS ELECTRONICS WRISTWATCH - UNISEX 0013,"₦ 1,849",381,"₦ 2,500",3.3,26%
Lookworld Men Sleek Timepiece Brown Leather Analogue Watch Working Calendar- World,"₦ 9,110",126,"₦ 48,790",4.3,81%
Ultra 1:1 49mm Case Smartwatch Fitness NFC Smart Watch Heart Rate S9 Ultra,"₦ 28,499",5,"₦ 56,158",3.8,49%
Skmei Quality Non Fading/Non Rusting BrownLeather Wristwatch + Bracelet,"₦ 33,855",9,"₦ 50,000",3.9,32%
Forecast ICE-Out Bling Diamond  Silver Stainless Steel WristWatch + Necklace & Bracelet,"₦ 30,500",3,"₦ 50,000",4,39%
ORUSS Men Watch Special Luxury Calendar Business Waterproof Men Wristwatch,"₦ 8,900",3,"₦ 10,500",4.7,15%
Nepic Modern Luxury Black Leather Wrist Watch For Men By NelPicter,"₦ 10,156",298,"₦ 32,000",4.2,68%
Wrist Smart Watch Bands Bracelet Strap-White,"₦ 5,354",52,"₦ 6,425",3.2,17%
V8 Wrist Watches Men's Sport Waterproof Quartz Watch- Black,"₦ 4,589",150,"₦ 7,810",3.6,41%
Smart   Watch  Men Women Blood Pressure Waterproof  Fitness,"₦ 5,582",73,"₦ 6,698",3.2,17%
COUPLE NON FADED LUXURY LOOK WORLD WRISTWATCH WATERPROOF,"₦ 19,424",13,"₦ 27,000",4.6,28%
GT4 Pro Smart Watch 1.6“ 360*360 Wireless Charging Bluetooth Call NFC Business Watch 380 Large Battery,"₦ 46,890",2,"₦ 98,716",5,53%
